"","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","disc_number","duration_ms","track_number"
"98",2020,0.649,0.936,4,-7.028,0,0.303,0.133,0.202,0.105,0.286,91.988,4,1,216853,13
"99",2020,0.638,0.813,1,-5.901,1,0.0817,0.021,0.608,0.059,0.477,85.009,4,1,221560,14
"100",2020,0.605,0.583,1,-11.117,1,0.0666,0.908,4.82e-06,0.324,0.958,90.223,4,1,53373,15
"101",2020,0.667,0.832,1,-9.66,1,0.776,0.159,0.261,0.214,0.761,88.092,4,1,179693,16
"102",2020,0.435,0.745,6,-8.379,0,0.258,0.00721,0.574,0.112,0.39,80.032,5,1,232693,17
"103",2020,0.428,0.791,1,-7.774,1,0.467,0.0414,0.181,0.0798,0.481,92.118,4,1,158333,18
"104",2020,0.574,0.625,6,-8.975,1,0.26,0.00267,0.864,0.175,0.859,93.556,4,1,80666,19
"105",2020,0.4,0.825,6,-7.628,1,0.353,0.00431,0.714,0.182,0.349,172.501,4,1,255680,20
"106",2020,0.829,0.81,2,-7.714,1,0.132,0.0277,0.0281,0.0591,0.778,127.947,4,1,170426,21
"107",2020,0.554,0.63,1,-7.142,1,0.324,0.000586,0.158,0.138,0.243,95.866,3,1,202760,1
"108",2020,0.869,0.701,8,-10.102,0,0.379,0.0221,0,0.0761,0.53,90.221,4,1,219813,2
"109",2020,0.588,0.856,5,-7.052,0,0.27,0.0907,0.000624,0.214,0.507,75.16,3,1,225120,3
"110",2020,0.611,0.56,1,-10.183,1,0.0794,0.00374,0.942,0.127,0.135,127.987,4,1,202653,4
"111",2020,0.615,0.381,10,-15.614,0,0.0536,0.259,0.893,0.107,0.362,179.975,4,1,215865,5
"112",2020,0.601,0.766,5,-10.36,0,0.0315,0.0604,0.831,0.183,0.691,149.964,4,1,224853,6
"113",2020,0.592,0.543,9,-8.915,1,0.0355,0.0784,0.474,0.201,0.867,143.969,4,1,26960,7
"114",2020,0.845,0.0469,6,-10.824,1,0.627,8.48e-05,0.874,0.087,0.749,172.102,4,1,22986,8
"115",2020,0.39,0.589,7,-10.867,0,0.0709,0.0109,0.948,0.111,0,104.003,1,1,18626,9
"116",2020,0.616,0.458,1,-7.683,1,0.254,0.0314,0.972,0.153,0.698,144.079,1,1,22612,10
"117",2019,0.711,0.624,10,-6.065,0,0.287,0.363,2.89e-05,0.109,0.863,91.079,4,1,202666,1
"118",2019,0.517,0.731,6,-6.996,0,0.444,0.107,0,0.136,0.722,167.986,4,1,209546,2
"119",2019,0.695,0.698,4,-6.539,0,0.29,0.153,1.8e-05,0.315,0.541,98.524,4,1,208733,3
"120",2019,0.505,0.559,1,-8.154,1,0.366,0.0986,0.000152,0.0734,0.366,75.233,4,1,241226,4
"121",2019,0.806,0.458,1,-8.14,1,0.226,0.0896,2.42e-05,0.0772,0.819,135.893,4,1,184920,5
"122",2019,0.789,0.605,7,-6.497,1,0.174,0.545,0,0.102,0.569,124.892,4,1,212253,6
"123",2019,0.432,0.868,1,-5.123,1,0.346,0.123,0,0.209,0.682,94.04,4,1,209813,7
"124",2019,0.584,0.621,8,-7.192,1,0.387,0.463,1.05e-06,0.0771,0.704,90.232,4,1,225706,8
"125",2019,0.519,0.595,2,-7.676,1,0.333,0.288,3.56e-06,0.299,0.502,73.203,1,1,147173,9
"126",2019,0.724,0.655,8,-6.603,1,0.0489,0.769,0.000267,0.174,0.428,117.924,4,1,231146,10
"127",2017,0.657,0.491,11,-12.275,0,0.028,0.0432,0.928,0.126,0.545,140.024,4,1,234093,1
